ts_code,name,latest_price,max_price_aug_oct,decline_pct,market,price_source
300344.SZ,立方退,0.26,6.43,-96.0,创业板,longbridge
300212.SZ,易华录,8.06,26.0,-69.0,创业板,longbridge
301052.SZ,果麦文化,33.68,97.5,-65.5,创业板,longbridge
300111.SZ,向日葵,3.95,10.28,-61.6,创业板,longbridge
300779.SZ,惠城环保,90.5,231.51,-60.9,创业板,longbridge
688189.SH,南新制药,7.53,18.78,-59.9,科创板,longbridge
688228.SH,开普云,109.91,260.0,-57.7,科创板,longbridge
603406.SH,天富龙,34.89,82.0,-57.5,主板,longbridge
002542.SZ,中化岩土,2.05,4.72,-56.6,主板,longbridge
603815.SH,交建股份,6.57,14.8,-55.6,主板,longbridge
002175.SZ,东方智造,2.57,5.79,-55.6,主板,longbridge
300591.SZ,万里马,6.96,15.69,-55.6,创业板,longbridge
603579.SH,荣泰健康,20.03,44.84,-55.3,主板,longbridge
688382.SH,益方生物-U,22.07,49.37,-55.3,科创板,longbridge
300723.SZ,一品红,36.58,81.48,-55.1,创业板,longbridge
603848.SH,好太太,15.52,34.29,-54.7,主板,longbridge
688246.SH,嘉和美康,19.06,42.0,-54.6,科创板,longbridge
603367.SH,辰欣药业,16.02,35.2,-54.5,主板,longbridge
300204.SZ,舒泰神,30.33,66.66,-54.5,创业板,longbridge
301632.SZ,广东建科,21.22,46.68,-54.5,创业板,longbridge
688108.SH,赛诺医疗,21.44,47.0,-54.4,科创板,longbridge
601929.SH,吉视传媒,2.98,6.5,-54.2,主板,longbridge
603767.SH,中马传动,18.68,40.62,-54.0,主板,longbridge
301491.SZ,汉桑科技,50.95,110.0,-53.7,创业板,longbridge
688066.SH,航天宏图,19.45,41.9,-53.6,科创板,longbridge
002657.SZ,中科金财,22.5,48.51,-53.6,主板,longbridge
603359.SH,东珠生态,5.72,12.27,-53.4,主板,longbridge
688166.SH,博瑞医药,57.35,122.59,-53.2,科创板,longbridge
688068.SH,热景生物,122.88,262.22,-53.1,科创板,longbridge
002547.SZ,春兴精工,3.44,7.25,-52.6,主板,longbridge
003010.SZ,若羽臣,31.54,66.61,-52.6,主板,longbridge
002104.SZ,恒宝股份,15.2,31.91,-52.4,主板,longbridge
002097.SZ,山河智能,10.03,20.98,-52.2,主板,longbridge
000980.SZ,众泰汽车,2.09,4.36,-52.1,主板,longbridge
600326.SH,西藏天路,9.29,19.29,-51.8,主板,longbridge
001386.SZ,马可波罗,19.4,40.0,-51.5,主板,longbridge
600967.SH,内蒙一机,14.91,30.68,-51.4,主板,longbridge
600698.SH,湖南天雁,7.26,14.9,-51.3,主板,longbridge
002265.SZ,建设工业,22.26,45.65,-51.2,主板,longbridge
000016.SZ,深康佳Ａ,3.18,6.5,-51.1,主板,longbridge
300290.SZ,荣科科技,15.79,32.29,-51.1,创业板,longbridge
000880.SZ,潍柴重机,28.31,57.57,-50.8,主板,longbridge
688577.SH,浙海德曼,68.8,139.93,-50.8,科创板,longbridge
688660.SH,电气风电,12.91,26.18,-50.7,科创板,longbridge
600117.SH,西宁特钢,2.57,5.18,-50.4,主板,longbridge
603567.SH,珍宝岛,6.7,13.48,-50.3,主板,longbridge
688765.SH,禾元生物-U,65.7,132.03,-50.2,科创板,longbridge
600400.SH,红豆股份,2.01,4.03,-50.1,主板,longbridge
002052.SZ,同洲电子,10.48,21.0,-50.1,主板,longbridge
002453.SZ,华软科技,4.87,9.76,-50.1,主板,longbridge
688036.SH,传音控股,52.53,104.9,-49.9,科创板,longbridge
